Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
BG995-12_220,Emerald,0.34,G,IF,GIA,Fair,None,None,65.70,62.00,Thin to Medium,Excellent,Excellent,4.75 x 3.49 x 2.3 mm,1257
23628_29708,Emerald,0.51,H,VS1,GIA,Excellent,None,None Pointed,63.70,65.00,Medium to Slightly Thick,Excellent,Very Good,5.42 x 3.99 x 2.54 mm,1762
N0189683AA_92506,Emerald,0.70,D,SI1,GIA,Excellent,Medium,,70.50,66.00,Slightly Thick to Very Thick,Excellent,Excellent,5.67 x 4.14 x 2.92 mm,1867
D200_42633,Emerald,0.37,D,VS2,GIA,Excellent,None,,67.50,73.00,Extr. Thin to Slightly Thick,Good,Good,5.19 x 3.41 x 2.30 mm,1319
188497_55110,Emerald,0.32,G,VS1,GIA,Excellent,None,,65.30,69.00,Medium to Extr. Thick,Good,Good,4.02 x 3.64 x 2.38 mm,1309
SG2788_98109,Emerald,0.45,H,VVS1,GIA,Excellent,None,,67.10,61.00,Slightly Thick to Very Thick,Excellent,Very Good,5.18 x 3.65 x 2.44 mm,1604
D1305_50227,Emerald,0.30,E,SI1,GIA,Excellent,None,,60.40,74.00,Slightly Thick to Thick,Very Good,Very Good,4.46 x 3.50 x 2.11 mm,856
23658_29708,Emerald,0.52,E,VVS2,GIA,Excellent,Faint,None Pointed,69.30,67.00,Slightly Thick to Very Thick,Very Good,Very Good,5.27 x 3.83 x 2.66 mm,2002
141430_19235,Emerald,0.61,G,SI1,GIA,Excellent,None,,61.90,69.00,Medium to Very Thick,Very Good,Good,6.13 x 4.18 x 2.59 mm,1770
BL97-28_13198,Emerald,0.48,G,VVS2,GIA,Excellent,None,,60.50,67.00,Slightly Thick to Slightly Thick,Excellent,Very Good,5.47 x 3.96 x 2.39 mm,1771
SG2863_98109,Emerald,0.43,I,VVS1,GIA,Excellent,None,,66.60,63.00,Thick to Very Thick,Excellent,Excellent,5.22 x 3.52 x 2.34 mm,1629
4R027_109001,Emerald,0.52,H,VS1,GIA,Excellent,Faint,,68.40,69.00,Thick to Very Thick,Excellent,Excellent,5.03 x 3.87 x 2.65 mm,1710
9-7-22/22_67680,Emerald,0.51,H,SI1,GIA,Excellent,None,,67.90,60.00,Thin to Slightly Thick,Very Good,Very Good,5.59 x 3.76 x 2.55 mm,1795
I101-183A_NVD,Emerald,0.42,D,VS1,GIA,Fair,None,,65.10,62.00,Slightly Thick to Slightly Thick,Excellent,Very Good,4.8x3.68x2.4 mm,1275
BL97-21_13198,Emerald,0.40,H,VS1,GIA,Excellent,None,,60.90,65.00,Thick to Very Thick,Excellent,Very Good,4.98 x 3.67 x 2.24 mm,1247
5K015_109001,Emerald,0.50,E,VS1,GIA,Excellent,Faint,,69.30,64.00,Thick to Very Thick,Excellent,Very Good,5.15 x 3.80 x 2.63 mm,2005
23622_285,Emerald,0.54,I,VVS1,GIA,Fair,Faint,None,66.50,63.00,Medium to Slightly Thick,Excellent,Very Good,5.44 x 3.99 x 2.66 mm,1805
D1289_50227,Emerald,0.30,F,VVS1,GIA,Excellent,Faint,,69.40,63.00,Medium to Slightly Thick,Excellent,Very Good,4.40 x 3.21 x 2.23 mm,1116
GIA 20538_12794,Emerald,0.30,I,VVS2,GIA,Excellent,None,,69.50,60.00,Extr. Thin to Extr. Thick,Very Good,Fair,4.22 x 3.20 x 2.22 mm,817
22569_29708,Emerald,0.50,E,VVS2,GIA,Excellent,Faint,None Pointed,65.50,67.00,Slightly Thick to Thick,Very Good,Very Good,5.34 x 3.95 x 2.58 mm,2033
200228OTC4_67216,Emerald,0.30,J,VS2,GIA,Excellent,None,,67.80,69.00,Medium to Extr. Thick,Very Good,Good,4.22 x 3.35 x 2.27 mm,817
LD21105668_NVD,Emerald,0.62,D,SI2,GIA,Fair,None,NON,66.00,65.00,Very Thick to Very Thick,Very Good,Excellent,5.61x4.08x2.69 mm,1953
AW5203_56385,Emerald,0.31,E,VVS2,GIA,Excellent,None,,61.50,69.00,Very Thin to Thick,Good,Good,4.87 x 3.38 x 2.08 mm,1258
5R021_109001,Emerald,0.50,I,VVS1,GIA,Excellent,Medium,,69.10,63.00,Thick to Very Thick,Excellent,Very Good,5.03 x 3.86 x 2.67 mm,1532
24773_29708,Emerald,0.50,G,VVS2,GIA,Excellent,None,None Pointed,67.20,66.00,Thin to Thick,Excellent,Very Good,5.30 x 3.85 x 2.59 mm,1778
E51196_23298,Emerald,0.38,G,VS2,GIA,Excellent,None,,67.20,71.00,Extr. Thin to Extr. Thick,Good,Good,4.97 x 3.58 x 2.41 mm,1062
24697_29708,Emerald,0.48,F,VVS1,GIA,Excellent,None,None Pointed,69.50,63.00,Medium to Slightly Thick,Excellent,Very Good,5.25 x 3.65 x 2.54 mm,1618
BF995-10_220,Emerald,0.50,D,SI2,GIA,Good,None,None,63.50,65.00,Thick to Very Thick,Excellent,Very Good,5.71 x 3.7 x 2.35 mm,1521
MG-95_15326,Emerald,0.40,H,IF,GIA,Fair,None,None,62.80,67.00,Thick to Very Thick,Excellent,Very Good,4.97 x 3.59 x 2.26 mm,1186
3004166_86907,Emerald,0.50,I,VVS2,GIA,Excellent,Strong,,66.10,66.00,Thick to Very Thick,Very Good,Very Good,5.40 x 3.76 x 2.49 mm,1658
2299382_486,Emerald,0.34,F,VVS2,GIA,Good,None,,62.70,64.00,Slightly Thick to Thick,Very Good,Very Good,4.68 x 3.47 x 2.17 mm,1288
2206620_486,Emerald,0.43,D,VVS1,GIA,Fair,None,,66.90,64.00,,Excellent,Very Good,5.11 x 3.6 x 2.41 mm,2012
24776_285,Emerald,0.50,F,VS2,GIA,Fair,None,None,62.00,66.00,Slightly Thick to Thick,Excellent,Good,5.29 x 4.0 x 2.48 mm,1835
