Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
GIA 20004_12794,Pear,0.51,E,SI1,GIA,Excellent,Very Strong,,59.4,58.0,Medium to Slightly Thick,Very Good,Very Good,7.21 x 4.50 x 2.67 mm,2025
B00234_23617,Pear,0.4,D,VS1,GIA,Excellent,None,,78.0,64.0,Medium to Thick,Fair,Good,5.93 x 3.86 x 3.01 mm,1489
J474-232591_NVD,Pear,0.4,D,VVS1,GIA,Very Good,Faint,NON,64.0,55.0,MED-VTK to MED-VTK,Excellent,Very Good,6.26x4.01x2.57 mm,1683
486703_486,Pear,0.4,G,IF,GIA,Good,None,,63.1,61.0,Slightly Thick to Thick,Excellent,Very Good,6.53 x 4.08 x 2.57 mm,1805
P4002_53333,Pear,0.45,E,VVS2,GIA,Excellent,None,,67.6,57.0,Slightly Thick to Extr. Thick,Very Good,Good,6.23 x 4.26 x 2.88 mm,2060
U39-46A_NVD,Pear,0.51,K,VS1,GIA,Ideal,Faint,,60.3,57.0,STK - THK to STK - THK,Excellent,Excellent,6.59x4.54x2.74 mm,1301
K/P043_13211,Pear,0.43,D,SI2,GIA,Excellent,None,,63.7,58.0,Medium to Very Thick,Good,Good,6.27 x 4.27 x 2.72 mm,1287
8124_84320,Pear,0.65,J,SI2,IGI,Excellent,None,,55.5,61.0,Medium to Extr. Thick,Good,Good,7.47 x 4.90 x 2.72 mm,1550
SAN/RAM-5-22_14255,Pear,0.45,E,SI2,GIA,Excellent,None,Medium Pointed,61.0,56.0,Very Thin to Slightly Thick,Very Good,Good,6.86 x 4.24 x 2.59 mm,1203
92066_NVD,Pear,0.5,E,VS2,GIA,Very Good,Faint,NON,60.8,59.0,FACETED to FACETED,Very Good,Very Good,6.78x4.5x2.74 mm,2062
K/P030A_13211,Pear,0.3,E,I1,GIA,Excellent,None,,65.5,61.0,Thick to Extr. Thick,Good,Good,5.43 x 3.65 x 2.39 mm,628
